Time,Quadrant Number,Ball Colour,Type
29.157809990574933,"(757, 276, 1)",Peach,Exit
29.157809990574933,1,Peach,Entry
29.191095161797048,"(782, 4, 1)",Red,Exit
29.191095161797048,1,Red,Entry
29.191095161797048,"(1509, 277, 2)",Blue,Exit
29.191095161797048,2,Blue,Entry
29.191095161797048,"(1106, 241, 2)",Yellow,Exit
29.191095161797048,2,Yellow,Entry
29.191095161797048,"(1805, 119, 2)",White,Exit
29.191095161797048,2,White,Entry
29.191095161797048,"(757, 276, 1)",Peach,Exit
29.191095161797048,4,Peach,Entry
29.224380333019166,"(765, 10, 1)",Red,Exit
29.224380333019166,1,Red,Entry
29.224380333019166,"(1509, 277, 2)",Blue,Exit
29.224380333019166,2,Blue,Entry
29.224380333019166,"(1106, 241, 2)",Yellow,Exit
29.224380333019166,2,Yellow,Entry
29.224380333019166,"(1808, 119, 2)",White,Exit
29.224380333019166,2,White,Entry
29.224380333019166,"(981, 836, 4)",Peach,Exit
29.224380333019166,4,Peach,Entry
29.257665504241285,"(782, 5, 1)",Red,Exit
29.257665504241285,1,Red,Entry
29.257665504241285,"(1509, 276, 2)",Blue,Exit
29.257665504241285,2,Blue,Entry
29.257665504241285,"(1106, 241, 2)",Yellow,Exit
29.257665504241285,2,Yellow,Entry
29.257665504241285,"(1800, 119, 2)",White,Exit
29.257665504241285,2,White,Entry
29.257665504241285,"(979, 834, 4)",Peach,Exit
29.257665504241285,4,Peach,Entry
29.2909506754634,"(782, 5, 1)",Red,Exit
29.2909506754634,1,Red,Entry
29.2909506754634,"(1509, 276, 2)",Blue,Exit
29.2909506754634,2,Blue,Entry
29.2909506754634,"(1106, 241, 2)",Yellow,Exit
29.2909506754634,2,Yellow,Entry
29.2909506754634,"(1803, 114, 2)",White,Exit
29.2909506754634,2,White,Entry
29.2909506754634,"(979, 834, 4)",Peach,Exit
29.2909506754634,4,Peach,Entry
29.324235846685518,"(782, 4, 1)",Red,Exit
29.324235846685518,1,Red,Entry
29.324235846685518,"(1509, 276, 2)",Blue,Exit
29.324235846685518,2,Blue,Entry
29.324235846685518,"(1106, 241, 2)",Yellow,Exit
29.324235846685518,2,Yellow,Entry
29.324235846685518,"(1805, 114, 2)",White,Exit
29.324235846685518,2,White,Entry
29.324235846685518,"(977, 832, 4)",Peach,Exit
29.324235846685518,4,Peach,Entry
29.357521017907636,"(782, 4, 1)",Red,Exit
29.357521017907636,2,Red,Entry
29.357521017907636,"(1509, 276, 2)",Blue,Exit
29.357521017907636,2,Blue,Entry
29.357521017907636,"(1106, 241, 2)",Yellow,Exit
29.357521017907636,2,Yellow,Entry
29.357521017907636,"(1801, 118, 2)",White,Exit
29.357521017907636,2,White,Entry
29.357521017907636,"(980, 839, 4)",Peach,Exit
29.357521017907636,4,Peach,Entry
29.390806189129755,"(1758, 11, 2)",Red,Exit
29.390806189129755,2,Red,Entry
29.390806189129755,"(1509, 276, 2)",Blue,Exit
29.390806189129755,2,Blue,Entry
29.390806189129755,"(1106, 241, 2)",Yellow,Exit
29.390806189129755,2,Yellow,Entry
29.390806189129755,"(1312, 1045, 4)",Orange,Exit
29.390806189129755,4,Orange,Entry
29.390806189129755,"(1847, 205, 2)",White,Exit
29.390806189129755,2,White,Entry
29.390806189129755,"(980, 834, 4)",Peach,Exit
29.390806189129755,4,Peach,Entry
29.42409136035187,"(1765, 11, 2)",Red,Exit
29.42409136035187,2,Red,Entry
29.42409136035187,"(1509, 276, 2)",Blue,Exit
29.42409136035187,2,Blue,Entry
29.42409136035187,"(1107, 241, 2)",Yellow,Exit
29.42409136035187,2,Yellow,Entry
29.42409136035187,"(1712, 970, 4)",Orange,Exit
29.42409136035187,4,Orange,Entry
29.42409136035187,"(1847, 205, 2)",White,Exit
29.42409136035187,2,White,Entry
29.42409136035187,"(982, 834, 4)",Peach,Exit
29.42409136035187,1,Peach,Entry
29.45737653157399,"(1771, 14, 2)",Red,Exit
29.45737653157399,2,Red,Entry
29.45737653157399,"(1509, 276, 2)",Blue,Exit
29.45737653157399,2,Blue,Entry
29.45737653157399,"(1106, 241, 2)",Yellow,Exit
29.45737653157399,2,Yellow,Entry
29.45737653157399,"(1642, 752, 4)",Orange,Exit
29.45737653157399,4,Orange,Entry
29.45737653157399,"(1847, 203, 2)",White,Exit
29.45737653157399,2,White,Entry
29.45737653157399,"(757, 264, 1)",Peach,Exit
29.45737653157399,1,Peach,Entry
29.490661702796107,"(1767, 21, 2)",Red,Exit
